,,Average expenditure per household ($),,,,,,,,,,,,,,,,,,,,,,,,
Geography,Statistic,Lowest quintile,,,,,Second quintile,,,,,Third quintile,,,,,Fourth quintile,,,,,Highest quintile,,,,
Quebec,Shelter,"9,436",..,"9,082",..,"9,246","10,825",..,"11,233",..,"10,564","12,824",..,"14,235",..,"14,353","15,679",..,"17,772",..,"19,697","24,175",..,"26,750",..,"25,527"
Quebec,Household operations,"2,438",..,"2,082",..,"2,830","2,785",..,"3,131",..,"3,163","3,843",..,"4,055",..,"3,987","4,797",..,"5,447",..,"5,539","6,722",..,"7,263",..,"7,216"
Quebec,Household furnishings and equipment,575,..,793,..,"1,487","1,588",..,"1,207",..,"2,184","2,221",..,"2,092",..,"2,606","1,784",..,"2,672",..,"3,663","3,098",..,"3,728",..,"5,582"
Quebec,Clothing and accessories,"1,141",..,"1,021",..,763,"2,011",..,"1,921",..,"1,493","2,650",..,"2,858",..,"1,991","3,573",..,"3,638",..,"2,896","5,617",..,"5,620",..,"3,770"
Quebec,Private transportation,"3,869",..,"2,978",..,"3,658","5,554",..,"5,486",..,"6,028","9,920",..,"9,036",..,"7,316","10,636",..,"12,634",..,"11,480","16,442",..,"17,388",..,"16,396"
Quebec,Public transportation,492,..,590,..,270,596,..,621,..,338,776,..,868,..,423,875,..,"1,160",..,487,"1,723",..,"1,669",..,628
Quebec,Health care,"1,140",..,"1,268",..,"1,400","1,989",..,"1,960",..,"2,119","2,860",..,"3,058",..,"2,447","3,482",..,"3,621",..,"3,606","4,838",..,"4,903",..,"4,910"
Quebec,Personal care,452,..,608,..,732,954,..,727,..,799,"1,147",..,"1,284",..,"1,335","1,250",..,"1,599",..,"1,837","1,680",..,"1,958",..,"2,515"
Quebec,Recreation,"1,723",..,"1,422",..,"1,370","2,129",..,"2,224",..,"2,640","3,234",..,"2,915",..,"2,989","4,519",..,"4,111",..,"4,876","6,931",..,"8,195",..,"7,131"
Quebec,Education,F,..,504,..,484,564,..,411,..,473,790,..,807,..,797,"1,059",..,905,..,"1,057","2,123",..,"2,052",..,"2,396"
Quebec,Reading materials and other printed matter,49,..,87,..,154,100,..,F,..,151,109,..,127,..,118,115,..,149,..,206,270,..,184,..,259
Quebec,"Tobacco products, alcoholic beverages and cannabis for non-medical use",..,..,"1,073",..,"1,157",..,..,"1,541",..,"1,379",..,..,"1,601",..,"1,898",..,..,"2,532",..,"2,515",..,..,"2,719",..,"2,342"
Quebec,Tobacco products and alcoholic beverages (Terminated),"1,000t",..t,..t,..t,..t,"1,055t",..t,..t,..t,..t,"1,570t",..t,..t,..t,..t,"1,825t",..t,..t,..t,..t,"3,037t",..t,..t,..t,..t
Quebec,Games of chance,100,..,163,..,F,154,..,186,..,140,F,..,175,..,135,144,..,147,..,F,231,..,195,..,F
Quebec,Miscellaneous expenditures,770,..,544,..,667,"1,082",..,963,..,648,"1,370",..,"1,265",..,"1,779","1,877",..,"1,722",..,"1,607","2,772",..,"2,605",..,"3,512"
Ontario,Total expenditure,"36,384",..,"38,714",..,"40,692","56,116",..,"61,243",..,"55,842","76,144",..,"80,919",..,"81,282","103,383",..,"115,686",..,"116,790","180,029",..,"189,998",..,"192,014"
Ontario,Food expenditures,"5,345",..,"5,670",..,"5,879","6,429",..,"8,012",..,"7,176","8,863",..,"9,884",..,"9,140","9,956",..,"13,061",..,"12,749","14,883",..,"15,440",..,"14,157"
Ontario,Shelter,"12,824",..,"13,037",..,"14,958","17,596",..,"16,727",..,"17,342","19,447",..,"20,039",..,"21,796","23,369",..,"26,079",..,"28,876","30,612",..,"35,885",..,"37,505"
Ontario,Household operations,"2,317",..,"2,724",..,"3,266","3,651",..,"4,167",..,"3,933","4,695",..,"5,200",..,"5,525","5,434",..,"6,763",..,"6,980","7,846",..,"9,375",..,"9,034"
Ontario,Household furnishings and equipment,"1,072",..,"1,097",..,"2,156","1,632",..,"1,921",..,"2,111","2,457",..,"2,563",..,"2,742","2,700",..,"3,789",..,"4,634","4,344",..,"4,438",..,"8,418"
Ontario,Clothing and accessories,"1,719",..,"1,737",..,"1,116","2,944",..,"3,021",..,"1,674","3,381",..,"3,014",..,"2,271","4,040",..,"4,357",..,"2,943","6,773",..,"5,622",..,"3,693"
Ontario,Private transportation,"3,685",..,"4,059",..,"4,096","7,857",..,"7,910",..,"5,492","11,179",..,"10,992",..,"8,525","14,239",..,"13,786",..,"12,289","21,060",..,"18,970",..,"15,088"
Ontario,Public transportation,843,..,"1,033",..,415,985,..,"1,143",..,575,"1,383",..,"1,287",..,738,"1,635",..,"2,157",..,790,"2,598",..,"2,761",..,"1,103"
Ontario,Health care,"1,158",..,"1,348",..,"1,629","1,761",..,"2,268",..,"1,978","2,205",..,"2,153",..,"2,527","2,531",..,"2,518",..,"3,012","3,081",..,"3,704",..,"3,969"
Ontario,Personal care,518,..,805,..,761,868,..,"1,160",..,732,"1,182",..,"1,199",..,"1,227","1,238",..,"1,838",..,"1,521","2,299",..,"2,375",..,"2,031"
Ontario,Recreation,"1,375",..,"1,322",..,"1,692","2,189",..,"3,100",..,"2,114","2,749",..,"3,341",..,"5,327","4,985",..,"5,867",..,"4,887","8,056",..,"9,150",..,"6,766"
